facility_id,cehrt_id,developer_name,product_name
100051,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100052,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100053,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
100054,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100055,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100057,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
10006,0015CW76TRC3SVN,MedAllies,MedAllies Direct Solutions™
100062,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100063,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100067,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100068,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100069,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
10007,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
100071,0015C31Q2L7M8G1,Cerner Corporation,Electronic Case Reporting
100072,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100073,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100075,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100077,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
10008,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
100080,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100084,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100086,0015C0BVT3QUF72,Becton Dickinson and Company,HealthSight Advisors
100087,0015C8M3JPT6GE9,"Clinisys, Inc.",Sunquest Laboratory
100088,0015CVE086KZX4L,Imprivata,FairWarning® Patient Privacy Monitoring
100090,0015CW4VMW3NMY3,Altera Digital Health Inc.,Sunrise Acute Care
100092,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
100093,nan,nan,
100099,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100105,0015C6CMZ6GZP4N,Epic Systems Corporation,Beacon Cancer Registry Reporting
100107,0015C4H2WUK0S3A,Epic Systems Corporation,Beacon Cancer Registry Reporting
100109,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
10011,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100110,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100113,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100117,0015CVE086KZX4L,Imprivata,FairWarning® Patient Privacy Monitoring
100118,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
10012,0015C8CHE73ABS5,Secure Exchange Solutions,SES Direct
100121,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100122,0015CR8535UDY24,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Rhapsody Integration Engine
100124,0015CSU4PE5PV37,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Rhapsody Integration Engine
100125,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100126,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100127,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100128,0015CHK826ALB2Y,Epic Systems Corporation,Beacon Cancer Registry Reporting
100130,0015CD44ZFB3ZJS,Epic Systems Corporation,EpicCare Inpatient Base
100131,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100132,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100134,0015C04SH6LV6D1,"DataMotion, Inc.",DataMotion Direct
100135,0015CUW9JS131YW,Cerner Corporation,Electronic Case Reporting
100137,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100140,0015CVE086KZX4L,Imprivata,FairWarning® Patient Privacy Monitoring
100142,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
100150,0015CR8535UDY24,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Rhapsody Integration Engine
100151,0015CVV17E9ZY7H,Epic Systems Corporation,Electronic Case Reporting
100154,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100156,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100157,0015CFF79Y8R0T3,Cerner Corporation,HealtheAnalytics: Promoting Interoperability
10016,0015CEN2HB2EXA1,Imprivata,Imprivata FairWarning
100161,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100166,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100167,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100168,0015C37W3D9FPX0,Cerner Corporation,Electronic Case Reporting
100173,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100175,0015CH4W5SEB65X,EMR Direct,Interoperability Engine
100176,0015CLT8S0A3MT6,Cerner Corporation,Electronic Case Reporting
100177,0015CU3CJQ8NPW3,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Corepoint Integration Engine
100179,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10018,0015CN0ZLY04L17,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100180,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100181,0015C4VN7FB1UX7,Secure Exchange Solutions,SES Direct
100183,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
100187,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
100189,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10019,nan,nan,
100191,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100200,0015C0BVT3QUF72,Becton Dickinson and Company,HealthSight Advisors
100204,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100206,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100209,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10021,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
100211,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100212,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100213,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100217,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
10022,0015CJ4T57TWR1R,Epic Systems Corporation,Beacon Cancer Registry Reporting
100220,0015CWW3R9FPD02,Epic Systems Corporation,Beacon Cancer Registry Reporting
100223,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100224,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100226,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100228,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10023,0015CEZ6FY4WR6V,Cerner Corporation,Millennium (CQMs)
100230,0015CD44ZFB3ZJS,Epic Systems Corporation,EpicCare Inpatient Base
100231,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100232,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100236,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100238,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10024,0015CG91R3XQ5T3,"Premier Healthcare Solutions, Inc.",eCQM Calculator
100242,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100243,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100244,0015CWW3R9FPD02,Epic Systems Corporation,Beacon Cancer Registry Reporting
100246,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100248,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100249,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
100252,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100253,0015C80E18RAW4X,Cerner Corporation,Electronic Case Reporting
100254,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100256,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100258,0015CLT8S0A3MT6,Cerner Corporation,Electronic Case Reporting
100259,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100260,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100264,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100265,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100266,nan,nan,
100267,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100268,0015CLT8S0A3MT6,Cerner Corporation,Electronic Case Reporting
100269,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100275,0015CQC4AND9RQT,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100276,0015C0BVT3QUF72,Becton Dickinson and Company,HealthSight Advisors
100277,nan,nan,
100281,0015CD44ZFB3ZJS,Epic Systems Corporation,EpicCare Inpatient Base
100284,0015C8CHE73ABS5,Secure Exchange Solutions,SES Direct
100285,0015CD44ZFB3ZJS,Epic Systems Corporation,EpicCare Inpatient Base
100286,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
100287,0015CLT8S0A3MT6,Cerner Corporation,Electronic Case Reporting
100288,0015CLT8S0A3MT6,Cerner Corporation,Electronic Case Reporting
100289,0015C6CMZ6GZP4N,Epic Systems Corporation,Beacon Cancer Registry Reporting
10029,0015C1HRS47CWV4,Cerner Corporation,Electronic Case Reporting
100290,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100291,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
100292,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100296,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100298,nan,nan,
100299,0015CQC4AND9RQT,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100302,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100307,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100313,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100314,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100315,0015CU3CJQ8NPW3,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Corepoint Integration Engine
100316,0015CU3CJQ8NPW3,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Corepoint Integration Engine
100319,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100320,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100321,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100329,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10033,0015CA3TZV3LRM4,Cerner Corporation,Electronic Case Reporting
100330,0015C1VJL5ZWR8P,"DataMotion, Inc.",DataMotion Direct
10034,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10035,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
100350,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100359,0015C8M3JPT6GE9,"Clinisys, Inc.",Sunquest Laboratory
10036,0015CC4NC7PMU4W,Secure Exchange Solutions,SES Direct
100360,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
100361,nan,nan,
100362,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100363,nan,nan,
10039,0015CV1DWP8EW1S,Cerner Corporation,Electronic Case Reporting
10040,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
10044,0015CRG0QJ69R7T,Veradigm,Veradigm FollowMyHealth®
10045,0015C47EGD92VSJ,Secure Exchange Solutions,SES Direct
10046,0015C4H2WUK0S3A,Epic Systems Corporation,Beacon Cancer Registry Reporting
10049,0015CR8535UDY24,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Rhapsody Integration Engine
10051,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10052,0015C7URE9RTG1U,"Inpriva, Inc.",hDirect Network Services
10055,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
10056,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
10058,0015CT0PPT32RH0,Persivia,Persivia Platform
10059,0015CD30BJE5K3L,Secure Exchange Solutions,SES Direct
10061,0015CWC4SAB73GB,"Inpriva, Inc.",hDirect Network Services
10062,0015CB33X8EL5AZ,"VIPA Health Solutions, LLC",24/7 smartEMR
10065,0015C0JMU86CL6B,Secure Exchange Solutions,SES Direct
10073,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10078,0015C351NUV0GV3,Cerner Corporation,HealthSentry
10079,0015C0HAX4ESQ0D,"Inpriva, Inc.",hDirect Network Services
10083,0015CR8535UDY24,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Rhapsody Integration Engine
10085,0015C9GP30G6V88,Secure Exchange Solutions,SES Direct
10086,0015CU43RP0JE55,Secure Exchange Solutions,SES Direct
10087,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
10089,0015CEN2HB2EXA1,Imprivata,Imprivata FairWarning
10090,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
10091,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10092,0015C47EGD92VSJ,Secure Exchange Solutions,SES Direct
10095,0015CT0PPT32RH0,Persivia,Persivia Platform
10097,0015C7URE9RTG1U,"Inpriva, Inc.",hDirect Network Services
10099,0015CQ314ZJA5HG,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
10100,0015C97XDZ8XB5U,Epic Systems Corporation,Beaker Reportable Labs Reporting
10101,0015CEN2HB2EXA1,Imprivata,Imprivata FairWarning
10102,0015CT0PPT32RH0,Persivia,Persivia Platform
10103,0015CEN2HB2EXA1,Imprivata,Imprivata FairWarning
10104,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
10108,0015CEZ6FY4WR6V,Cerner Corporation,Millennium (CQMs)
10110,nan,nan,
10112,nan,nan,
10113,0015C97XDZ8XB5U,Epic Systems Corporation,Beaker Reportable Labs Reporting
10114,0015CBS1QV2E51Z,DrFirst,Rcopia
10118,0015C4XYB82NW5B,"Medisolv, Inc.",ENCOR-e
10120,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10125,0015C8CHE73ABS5,Secure Exchange Solutions,SES Direct
10126,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10128,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10129,0015C97XDZ8XB5U,Epic Systems Corporation,Beaker Reportable Labs Reporting
10130,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
101300,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
101303,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
101304,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
101305,nan,nan,
101307,0015C3MEG4NGY2J,"Inpriva, Inc.",hDirect Network Services
101308,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
101309,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10131,0015CR8535UDY24,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Rhapsody Integration Engine
101311,nan,nan,
101312,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
101313,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
101314,nan,nan,
101315,nan,nan,
10138,nan,nan,
10139,0015CLT8S0A3MT6,Cerner Corporation,Electronic Case Reporting
10144,0015CF2C9MW8EHH,Altera Digital Health Inc.,Sunrise Acute Care
10148,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10149,0015CEZ6FY4WR6V,Cerner Corporation,Millennium (CQMs)
10150,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10157,0015CW76TRC3SVN,MedAllies,MedAllies Direct Solutions™
10158,0015CY9N5RK82FA,Secure Exchange Solutions,SES Direct
10164,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
10168,0015C8CHE73ABS5,Secure Exchange Solutions,SES Direct
10169,0015CQ314ZJA5HG,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
10173,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
10174,nan,nan,
10175,0015C069QS9VL47,Cerner Corporation,Electronic Case Reporting
103300,nan,nan,
103301,nan,nan,
103304,nan,nan,
110001,0015C65G4TTY3ZK,Cerner Corporation,FirstNet (CQMs)
110002,0015CM5PG9L54GZ,"Medical Information Technology, Inc. (MEDITECH)",MEDITECH Expanse 2.2 Ambulatory
110003,0015CS48Q53VKT0,"Surescripts, LLC",Surescripts Clinical Direct Messaging
110005,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
110006,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
110007,0015C9YFE1KJ3B0,"Medisolv, Inc.",ENCOR-e
110008,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
110010,0015CFP858UQL09,Epic Systems Corporation,Beaker Reportable Labs Reporting
110011,nan,nan,
110015,nan,nan,
110016,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110018,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110023,0015CFG9KA7DWS7,Cerner Corporation,Electronic Case Reporting
110024,0015CT8SSG66TX7,"DataMotion, Inc.",DataMotion Direct
110025,0015CLP8FB7RRE6,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
110027,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
110028,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110029,0015CWV39V23WRL,Epic Systems Corporation,Beacon Cancer Registry Reporting
110030,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110031,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110032,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110034,0015CF6CR28MVL0,Imprivata,Imprivata FairWarning
110035,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110036,0015CME8BNH7WNQ,Epic Systems Corporation,Beacon Cancer Registry Reporting
110038,0015CX2MB6U7SR3,Cerner Corporation,Soarian Clinicals
110041,0015CWV39V23WRL,Epic Systems Corporation,Beacon Cancer Registry Reporting
110042,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110043,0015CT8SSG66TX7,"DataMotion, Inc.",DataMotion Direct
110044,0015C9YFE1KJ3B0,"Medisolv, Inc.",ENCOR-e
110045,0015CWV39V23WRL,Epic Systems Corporation,Beacon Cancer Registry Reporting
110046,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110050,0015CFG9KA7DWS7,Cerner Corporation,Electronic Case Reporting
110051,0015C4DPR23A8VK,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
110054,0015C62X1T3D302,Epic Systems Corporation,Beacon Cancer Registry Reporting
110064,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110069,0015C6HCG5AQB5J,"Medical Information Technology, Inc. (MEDITECH)",MEDITECH Patient and Consumer Health Portal
110071,0015CZW6QPH22LK,Persivia,Persivia Platform
110073,0015C0V7KAG3FNU,"Medical Information Technology, Inc. (MEDITECH)",MEDITECH Patient and Consumer Health Portal
110074,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110075,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
110076,0015CFP858UQL09,Epic Systems Corporation,Beaker Reportable Labs Reporting
110078,0015CFP858UQL09,Epic Systems Corporation,Beaker Reportable Labs Reporting
110079,0015C4J0ZKW5KKJ,Epic Systems Corporation,EpicCare Inpatient Base
110082,0015CFP858UQL09,Epic Systems Corporation,Beaker Reportable Labs Reporting
110083,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110086,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110087,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
110089,0015CRC7WS3FUQ5,Veradigm,AllScripts FollowMyHealth®
110091,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110092,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110095,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
110100,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110101,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
110104,0015C80E18RAW4X,Cerner Corporation,Electronic Case Reporting
110105,0015CUQ0KRJ08PL,DrFirst,Rcopia
110107,0015C4QQK4XXK7K,Epic Systems Corporation,Beaker Reportable Labs Reporting
110109,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110111,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110113,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110121,0015CX2MB6U7SR3,Cerner Corporation,Soarian Clinicals
110122,0015CD1TSY2250E,Epic Systems Corporation,Beacon Cancer Registry Reporting
110124,0015CGC8RF5FMW6,"Premier Healthcare Solutions, Inc.",eCQM Calculator
110125,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
110128,0015CS48Q53VKT0,"Surescripts, LLC",Surescripts Clinical Direct Messaging
110129,0015CJD3G2F3YGA,Cerner Corporation,Electronic Case Reporting
110132,0015CR518NBN487,"Medical Information Technology, Inc. (MEDITECH)",MEDITECH Public Health Interface Electronic Case Reporting
110142,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
110143,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110146,0015CLP8FB7RRE6,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
110150,0015C4QQK4XXK7K,Epic Systems Corporation,Beaker Reportable Labs Reporting
110153,nan,nan,
110161,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
110164,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110165,0015C4H2WUK0S3A,Epic Systems Corporation,Beacon Cancer Registry Reporting
110168,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
110177,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
110184,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110190,nan,nan,
110191,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110192,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110194,nan,nan,
110198,0015CFN4FLD1GXG,Epic Systems Corporation,EpicCare Inpatient Base
110200,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110201,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110209,nan,nan,
110215,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110225,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110226,0015CFP858UQL09,Epic Systems Corporation,Beaker Reportable Labs Reporting
110229,0015CV1VQ2AEW6U,Epic Systems Corporation,Beaker Reportable Labs Reporting
110230,0015CFP858UQL09,Epic Systems Corporation,Beaker Reportable Labs Reporting
110233,nan,nan,
110234,0015CD1TSY2250E,Epic Systems Corporation,Beacon Cancer Registry Reporting
110236,0015CWD2653NY5L,Epic Systems Corporation,Beacon Cancer Registry Reporting
110237,0015CWV39V23WRL,Epic Systems Corporation,Beacon Cancer Registry Reporting
110252,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
111302,0015CFG3Q10HY2V,"Inpriva, Inc.",hDirect Network Services
111303,0015CDA13YNK8F1,Cerner Corporation,Electronic Case Reporting
111304,0015C3K3YJ2CSK4,Cerner Corporation,Electronic Case Reporting
111305,0015C80E18RAW4X,Cerner Corporation,Electronic Case Reporting
